,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basilée;per;affari,Andar a basilée per affari
1,1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa;sci;olivo;sta,fa sci S olivo N DI sta,Fasciso;livondista,Fasciso livondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fata;carme;eco;sei;para,chiesa VIO fata SO R carme LL eco sei M para TE,Chi;è;savio;fa;tasor;carme;llec;oseimparate,Chi è savio fa tasor carme llec oseimparate
6,6,revolver;ibis;ami;arsi,PE revolver S ibis O GN ami GL IO R arsi,Per;evolversi;bisogna;migliorarsi,Per evolversi bisogna migliorarsi
7,7,van;da;giare;alte;ami,V I van da giare alte G ami N O,Vivanda;già;realet;ga;minorano,Vivanda già realet ga minorano
8,8,rive;Itaca,rive ND Itaca RA,Riventita;cara,Riventita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la;ceste;lato,la N I ceste L lato,L;anice;stellato,L'anice stellato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;Di;serva,OS pedale Di RI serva,Ospedale;di;riserva,Ospedale di riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,oliera;pericolo,V oliera pericolo MBI,Voliera;per;i;colombi,Voliera per i colombi
15,15,ami;ciechi,C ami ciechi C,Camicie;chic,Camicie chic
16,16,stie;conte,GE stie conte TI,Gesti;conteneti,Gesti conteneti
17,17,duomo;Ra;di,duomo Ra di,Duomora;ridi,Duomora ridi
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;edili;tini,V ante R I edili BER tini,Vanterie;di;libertini,Vanterie di libertini
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;accorsi,Il popolare attore accorsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,Verona;ora,CA Verona ora I,Cave;r;onaori,Cave r onaori
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Borodine;g;Riege,Borodine g Riege
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglia;doplorabile,Sbaglia doplorabile
28,28,irata;peri;asso,G irata peri N C asso,Girata;per;incasso,Girata per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;Un;Edoardo,raggi Un G Edoardo,Raggiunger;ador,Raggiunger ador
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;cascate;di;Taormina,Bianche cascate di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
