,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basilea;per;affari,Andar a basilea per affari
1,1,re;bollite;testa,re CLU bollite testa TO,Reclubo;litestato,Reclubo litestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;ronista,Fascismo ronista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;maghi;aria;eco;sa;para,chiesa VIO maghi SO R aria LL eco sa M para TE,Chi;è;savio;ma;ghiro;sara;il;lecose,Chi è savio ma ghiro sara il lecose
6,6,revolver;ibis;ami;arsi,PE revolver S ibis O GN ami GL IO R arsi,Per;evolver;versioni;bisognami,Per evolver versioni bisognami
7,7,van;di;dima;giare;rialzate;ami,V I van di dima N giare rialzate G ami N O,Vivandi;di;mangiare;ria;lizzate,Vivandi di mangiare ria lizzate
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfondare;discorsi,Sfondare discorsi
10,10,la;ceste;lat,la N I ceste L lat,L;anice;stellato,L'anice stellato
11,11,con;ratto;ila;orso,con T ratto D ila V orso,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;riserva,Ospedale di riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileño,Torero madrileño
14,14,olio;rischio,V olio rischio MBI,Volorio;schi;o;mbiante,Volorio schi o mbiante
15,15,aspi;ciechi,C aspi ciechi C,Caspice;chic,Caspice chic
16,16,stie;re,GE stie re TI,Gesti;eretici,Gesti eretici
17,17,arco;Pi;di,arco Pi di,Arcopi;diadi,Arcopi diadi
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;tram;Cile,C re A re UN re tram F A Cile,Creare;un;retra;facile,Creare un retra facile
21,21,ante;edili;tini,V ante R I edili BER tini,Vantieri;di;liberti,Vantieri di liberti
22,22,Po;Po;jet;orsi,IL Po Po LA jet AC C orsi,Il;popola;jetac;corsi,Il popola jetac corsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,prigioni;con,CA prigioni con I,Capi;g;rioni,Capi g rioni
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;Negri,BO Rodi Negri EG,Borodin;e;Grieg,Borodin e Grieg
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deporabile,Sbaglio deporabile
28,28,iuta;peri;asso,G iuta peri N C asso,Giuta;per;incasso,Giuta per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;lancia;Nino,raggi lancia G Nino,Raggi lanci;agni,Raggi lanci agni
31,31,storie;sette;dita;lapis,"BI, storie CA, sette dita OR lapis",Bistori;ecasse;te;diarlapis,Bistori ecasse te diarlapis
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandal,Evitare scandal
34,34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligenza,Domestica negligenza
35,35,storti;chi,P O storti chi P,Post;ortichi;p,Post ortichi p
36,36,ebreo;peri,CEL ebreo peri ST A,Célebre;operista,Célebre operista
37,37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Agile;torero;d;Alicante,Agile torero d'Alicante
39,39,viti;tori,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
40,40,sa;viole,CON sa viole NTA,Consavio;lenta,Consavio lenta
41,41,tra;collare;mani;est,tra collare mani F est I,Tracollar;evidenti,Tracollar evidenti
42,42,in;si;va;per;fetta,in CI si va per O fetta,Incisiva;peroretta,Incisiva peroretta
43,43,scia;la;re;la;Tasso,scia la re la la Tasso,Scialare;latasso,Scialare latasso
44,44,gin;rami,gin OB rami E R I,Gino;Bramieri,Gino Bramieri
45,45,tra;secondi;versi;ori,tra secondi versi E R R ori,Trase;con;diversi;errori,Trase con diversi errori
46,46,acini;gola,L acini gola CCA,La;cingola;caccia,La cingola caccia
47,47,ossa;top;balsamo,F ossa top RO balsamo DO,Fossato;probalmo,Fossato probalmo
48,48,Sem;colt;tuba;anelli,Sem PI colt I VA tuba V anelli,Sempo;coltivati;b;vanellini,Sempo coltivati b vanellini
49,49,re;ala;are,MA re ala G U N are,Mare;alagunare,Mare alagunare
50,50,anima;mento;anima;agli;redi,UN anima mento CON anima TO D agli E redi,Un;animamento;con animato;dagli;eredi,Un animamento con animato dagli eredi
51,51,larve;asini;ontani,VO larve R asini L ontani,Volar;vere;sini;lontani,Volar vere sini lontani
52,52,amo;sai;nave;nera,F amo sai C O nave nera TA,Famosa;icona;venerata,Famosa icona venerata
53,53,lenti;gin;Umar;occhio,lenti G gin O S Umar M occhio,Lentiggino;sommarmocchio,Lentiggino sommarmocchio
54,54,tir;maniche,AR tir O maniche,Arti;romaniche,Arti romaniche
55,55,cola;anelli;arazzo,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,56,re;tea;bus;rapa,re tea bus rapa,Rete;a;busrapa,Rete a busrapa
57,57,coro;divo,SO coro CI divo,Socorocid;divo,Socorocid divo
58,58,est;conca;lama,C est I conca lama RI,Cesti;con;calamari,Cesti con calamari
59,59,prese;Torino;reti,prese R V Torino G reti,Preservato;rigneti,Preservato rigneti
60,60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;pecare,A volte capita di pecare
61,61,lama;serpe,CA lama serpe SSI,Calamaserpe;sussi,Calamaserpe sussi
62,62,unti;rotonde;va;zio,S P unti P E rotonde R va zio NI,Spunti;per;ottondervazioni,Spunti per ottondervazioni
63,63,nero;sodo;ore,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche;mele,zucche R O mele,Zucchero;m;ele,Zucchero m ele
66,66,isola;toro;busto,isola toro busto,Isolatoro;busto,Isolatoro busto
67,67,zie;dadi;riga,zie NDA dadi SB riga RE,Zindada;di;sbrigare,Zindada di sbrigare
68,68,para;erme;teli;in,para GG erme N teli QU in SI,Parà;ggermenti;liequinsi,Parà ggermenti liequinsi
69,69,nome;tori;colo,U nome T tori DI colo,Un;ottore;idicolo,Un ottore idicolo
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;trappela;riardia,Fare trappela riardia
71,71,astori;rovo,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,Mida;mazzo,AR Mida mazzo NI,Armi;d;amazzone,Armi d'amazzone
73,73,sci;cote;la,sci O C cote P la,Sciocco;tepla,Sciocco tepla
74,74,do;ore;tre;Giano,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
