,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basilea;per;affari,Andar a basilea per affari
1,1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fate;canto;eco;in;para,chiesa VIO fate SO R canto LL eco in M para TE,Chi;è;savio;fa;tesoro;canto;leco;imparate,Chi è savio fa tesoro canto leco imparate
6,6,colt;ibis;ami;arsi,PE colt S ibis O GN ami GL IO R arsi,Pec;oltsibiso;gnamigi;migliorarsi,Pec oltsibiso gnamigi migliorarsi
7,7,van;da;dama;giare;alte;ami,V I van da dama N giare alte G ami N O,Vivanda;da;mangiare;al;tegamino,Vivanda da mangiare al tegamino
8,8,rive;Itaca,rive ND Itaca RA,Riveditac;Cara,Riveditac Cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfondare;discorsi,Sfondare discorsi
10,10,la;ceste;lato,la N I ceste L lato,L;anice;stellato,L'anice stellato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,olio;rischio,V olio rischio MBI,Volorio;sch;i;combi,Volorio sch i combi
15,15,uncini;ciechi,C uncini ciechi C,Cuncini;ciechi,Cuncini ciechi
16,16,stie;conte,GE stie conte TI,Gesti;economici,Gesti economici
17,17,arco;Ra;di,arco Ra di,Arcoradi;cinesi,Arcoradi cinesi
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;edili;tino,V ante R I edili BER tino,Vantieri;ed;libertino,Vantieri ed libertino
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;accorsi,Il popolare attore accorsi
23,23,inno;divi;oli,inno NT E divi oli N O,Innocente;di;violino,Innocente di violino
24,24,carceri;palla,CA carceri palla I,Cacc;a;riceri,Cacc a riceri
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Borodin;e;Grieeg,Borodin e Grieeg
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deplorabile,Sbaglio deplorabile
28,28,agitata;peri;asso,G agitata peri N C asso,Gagita;per;incasso,Gagita per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;Ermete,raggi un G Ermete,Raggiunger;mete,Raggiunger mete
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
