,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;basilea;per;affari,Andar a basilea per affari
1,1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fate;ode;eco;sei;para,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;testo;delle;cose;imparate,Chi è savio fa testo delle cose imparate
6,6,colt;ibis;ami;arsi,PE colt S ibis O GN ami GL IO R arsi,Pe;coltisibis;ognamig;liorarsiscono,Pe coltisibis ognamig liorarsiscono
7,7,,V I van da dama giare alte G ami N O,Vivanda;da;magiare;al;tegamino,Vivanda da magiare al tegamino
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfondare;discorsi,Sfondare discorsi
10,10,la;cesti;lato,la N I cesti L lato,L;anice;stillato,L'anice stillato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,oliera;rischio,V oliera rischio MBI,Voliera;ris;c;chioschi,Voliera ris c chioschi
15,15,ami;ciechi,C ami ciechi C,Camicié;chic,Camicié chic
16,16,stie;duca,GE stie duca TI,Gesti;educati,Gesti educati
17,17,arco;Ra;di,arco Ra di,Arcoradi;Bari,Arcoradi Bari
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;edili;tino,V ante R I edili BER tino,Vantieri;di;libertino,Vantieri di libertino
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;accorsi,Il popolare attore accorsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,prigioni;Gioconda,CA prigioni Gioconda I,Capi;g;ondoi,Capi g ondoi
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Brodine;g;reig,Brodine g reig
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deplorabile,Sbaglio deplorabile
28,28,sella;peri;asso,G sella peri N C asso,Gsellà;per;incasso,Gsellà per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;Nino,raggi un G Nino,Raggiungino;noi,Raggiungino noi
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
